reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOGA81Y_9Ks_EeOTJCsbR2YBGfA4_HNpYLO39_i938_eIQINJ4x4wtxFiVReH9T08FLLJGMnrcZ-UNhfAlo,MD Imran Ibna Shorif,https://play-lh.googleusercontent.com/a-/AOh14Gg98VXDOTik_PH0o1AQipC4a6vj_q432HTPjL8Y,High prize 😡😡😡,5,0,,2022-03-27 13:43:48,,
gp:AOqpTOGBewPko0vSAHNDa4LkRCbQFfmVtd5KFr0dqiwaybLEnLiP274hEv8Vbo3NlCLxMmb6eVpc9QbYcZAAB8k,RODIX EXO,https://play-lh.googleusercontent.com/a/AATXAJxITBL3UOzQKqtIDJOXcHLdyRiNLa1rU--c_hTXLQ=mo,Good,5,0,8.9.1 build 14 40080,2022-03-27 13:39:46,,
gp:AOqpTOHQpOVNK0DpnQlTLoIEA0hWHZ0kQNNNxAWjTPZGP8ELus6leE_T2B1-VJ0iT2flVDxCK9BzP1UTZQ4ZqA0,Reuben Lorionokou,https://play-lh.googleusercontent.com/a/AATXAJw0Aii_cqhSXqj28M1T-_9C9nHublUXQs0_5Gl9=mo,Great app,2,0,,2022-03-27 13:39:17,,
gp:AOqpTOE9ZzQbqczGEFZrqtBQqKMxrsCFTWTnxSASPL3vh4wynM5pueD69cnlqAoccPoW1BSsyUFYDGcznfEQmWs,DT Andersen,https://play-lh.googleusercontent.com/a-/AOh14Gi0xt_xEawklkSLdny091gg_aqBrxIZDFzgAKWV,"At twenty $ USD a month? No. I cut cords to get away from constant rate hikes etc.. Adding ""services"" that no one asked for is not a justification either. Netflix games? Give me a break man! What a joke. Reruns of trash and original trash like Red Notice? Go scratch! There's just not $20 monthly worth of value on offer and frankly I resent the constant money grab from very long term loyal customers.",2,0,8.22.1 build 22 40193,2022-03-27 13:37:00,,
gp:AOqpTOEKkth_4qrgVt0faOClLBCCFaToNa_36UPwpKmihM_qWBbuNpME4w4xF3-5_LiouUk6D4V9evXW288tIBE,Abdelrahman Amr,https://play-lh.googleusercontent.com/a-/AOh14GioiuJDW9vk7mxT5gDScUKl4wPYQvNUOug2ARw09w,its so good,5,0,8.11.1 build 12 40101,2022-03-27 13:36:56,,
gp:AOqpTOGi64cVi7evzKfLmYDszxATn3azICPdJ4LOZ2RExCbDPKLMFr-TvntFtqdDEkYXah60xYCAChxnaykUuK0,banele moyo,https://play-lh.googleusercontent.com/a-/AOh14GjCbvWUdjvtJVrnGUvZceijpjZRY1zKkx7TTmae,Best ever,5,0,8.11.1 build 12 40101,2022-03-27 13:30:44,,
gp:AOqpTOF5cTPqBCF7LNW9XVfsQHuA1aZZQgJIPFIcNwJGCVeJsV7QH7Eagorr-JNmJRGthfqiruz5z9uEGs8fSCE,ghostlyredfox,https://play-lh.googleusercontent.com/a-/AOh14GjPjc3AMlskxkODMTx1S6IlYMxreuHyr_xZM077,Glitchy and unreliable. Picture in picture won't close and opening the app automatically turns my brightness down to nothing.,1,0,8.22.1 build 22 40193,2022-03-27 13:28:31,,
gp:AOqpTOHOjVVzkTN4JwaaKjFt7lHBL0Ze6_aWcLuaHUzkWcQtZfPOtv0J41BdbuysO9NipIXAqCZYe0nY7SwmIVk,GLENN DEVANNEY,https://play-lh.googleusercontent.com/a-/AOh14GjCmzlbl3P7kaVbLr-RjvMImSRslJ4mM5uZvShEIQ,It's a good app,5,0,8.22.1 build 22 40193,2022-03-27 13:26:49,,
gp:AOqpTOE9rH1uR70AI1-jMzwy9fUCPtMJ5LXkKgKfqJdBW7xB-D2b589jXR5jh9TD27bvo_cao3-1m4l6zrEAVng,Alice Kosgei,https://play-lh.googleusercontent.com/a/AATXAJzjiglpgHYT2ENA5VHZRAmFD8hNLsZ4Hzi2RVGK=mo,awesome,5,0,8.19.0 build 4 40164,2022-03-27 13:26:48,,
gp:AOqpTOHFwQs2FPSOADUZQdvCh4VN-9kws--4cP-wjyquDM9xFCHbxUo9-2i16Jt6VL5tGKamE4Jy2JA0tHDrDuY,stevve Rogers,https://play-lh.googleusercontent.com/a/AATXAJzSJTQQz5-RmC1fRqUvR7banuc-paghMRdpa0k1=mo,Nice,5,0,8.12.0 build 7 40118,2022-03-27 13:23:03,,
gp:AOqpTOG8UqNHoVaOuAUWNlz-DnzVwi3FJLW2A_ZJxxbo_Tp-f-ahTCzSLcjwoayLGrN0XoAurIhRCyxs849cCgM,Homolemo Ore,https://play-lh.googleusercontent.com/a/AATXAJz1qdKLRrslEYyqgZyZY6gYPUsKHxdLJ4dClNEN=mo,"Amazing, the video quality is just wack👎",4,0,8.11.1 build 12 40101,2022-03-27 13:06:47,,
gp:AOqpTOGCsOyqKIzsGPAMBJ6Y3KLlKJnXBnWEXKms0wYWbGpZT3TjieXmhIPJsP_kMUuhDJPh-s7tieGqK2HvZkM,Jokim Achemto,https://play-lh.googleusercontent.com/a-/AOh14GjscWQgUuCgmXYH1h87j_d6crNmY5Ke_0OeIXjd,The best,5,0,8.11.1 build 12 40101,2022-03-27 13:06:11,,
gp:AOqpTOEg-hdcOR3cVk_qIcQ9vIWiAR5qZsczqdjy2Fo08UIhCvedLjSjnYdGboJjHCeStpX8QF2_72vmlM06-TI,Factvine Mugove,https://play-lh.googleusercontent.com/a-/AOh14Ggo9llcfqAqec8kecqbtWf-6MKQBQRlQmiyR06G,Why is that I can download 1 episode at time? Make it 4 downloads at a time to save time please.,3,0,8.22.1 build 22 40193,2022-03-27 12:55:18,,
gp:AOqpTOFfSxqc6oLv1bgqgUIzkBizVHOhw89zb66oFydUUTnsLa_Nfou8eKe8pISwZpUbm97NLukt8xOxd7dc0kM,Vivian Elekate,https://play-lh.googleusercontent.com/a/AATXAJyCyulLZNu8qTMDN04gpcR41b6YUULvtNrgAssM=mo,The app is great,5,0,8.22.1 build 22 40193,2022-03-27 12:51:08,,
gp:AOqpTOFvy4Xxaq7hR8a0G3WNPgwaTkTtD5DmV1yZi9X0Wpc3fOaKtslZHCex3nRGOcBM5fObXy_2kjSiQmFtPyI,Clayton Collins,https://play-lh.googleusercontent.com/a-/AOh14Gg4JUU6L7i-Zgm5a36QG1SCab2urvQl69wYB24AZrM,I love netflix!! The picture quality of all there movies is excellent I have saved all my favorites documentary 's 👍 🎬💯,5,0,8.22.1 build 22 40193,2022-03-27 12:35:37,,
gp:AOqpTOGK4uLqrk8ZGIy-oQ-JgGDz91TrWcckFRl_STb4HeTlJ99jibzefaYPU3fwRWNhHLEGWbSQAGiY16xkAkY,Asuka,https://play-lh.googleusercontent.com/a-/AOh14GgazDpCeYIm1aKcJa5JlzvR6ho8-XNbf6ooEx94JA,"NETFLIX PLSSS FIX YOUR APP, I WAS SUPPOSED TO WATCH MY NEW EPISODE OF MY KDRAMA EXACTLY AT THE REALEASING TIME BUT I GOT LOGGED OUT??? THIS IS THE 3RD TIME BEING LOGGED OUT PLSS I CANT SUFFER LIKE THIS FIX YOUR APP, oh and add some cartoon movies thanks🤗.",5,0,8.22.1 build 22 40193,2022-03-27 12:34:37,,
gp:AOqpTOE4KwRh0E4mA8LjJUN7M4LKfLuqFApcM-QRswL8b-DOlUL8gHE395evuXqgc-RqmcCct_6zDJwFolJLVC0,sana jalil,https://play-lh.googleusercontent.com/a-/AOh14GiOpfprX56n9N9N_kzTgkLLCAz4wTa3i7-IgGWSMw,Best appp but pk has barely any movies we need more movie,4,0,8.22.1 build 22 40193,2022-03-27 12:33:11,,
gp:AOqpTOFdZz-Zl726tym8jf5KeYFxsutiZfj7WczyMEyxmthGZCJiBJ-0Ni4-2JsTyNfE-8T6M0op1lwIp2OStBY,Pravin Mirge,https://play-lh.googleusercontent.com/a-/AOh14GgGyHoErHw8VpkvbdqpwhuoUl4lB2tjbXYJ-_FDmg,All is good but please for god sake add quality option my all net got sucked up otherwise the experience is soo good.,1,0,8.22.1 build 22 40193,2022-03-27 12:27:57,,
gp:AOqpTOGZzn_l3Zr1nTf8U30ZjNHnQxcFbGUS7EixKnvdBJUFjDDl6DK_J_SWGe2ptlSCarMubniHkFRqattqyLk,jagadeesh zann,https://play-lh.googleusercontent.com/a-/AOh14GiUCT4iEsnUhKR762l1C9X2OHy9KOld0rOyNQfwAg,good,5,0,8.9.1 build 14 40080,2022-03-27 12:21:02,,
gp:AOqpTOEVgn7J4O0lFT5g-j5pjX1KYcaKsL00F2jhAhaouQA5poQCi7VFwsVkBjrNJMgeDRETH1MZz_0n79Y6g14,Priyanka Patel,https://play-lh.googleusercontent.com/a/AATXAJwQ9DhAnaaxc1zUVbUxraFbHHh7Maesc85iJ9hO=mo,Veri nice,4,0,8.22.1 build 22 40193,2022-03-27 12:20:48,,
gp:AOqpTOErPmdZEQqwQntHQCTfU0pcmDXVKkCnitC7iuPjQcvCxY6qWlci0szuopXXOZMpoOnTdnneMtMN_8rNT7g,Mahadev Manjula,https://play-lh.googleusercontent.com/a/AATXAJwiVrUQDyEjnwy5nCIHP2pgQK2pgQWzRJYqfxSb=mo,Super,5,0,,2022-03-27 12:16:31,,
gp:AOqpTOGoSUKO-EyV74lfpF-xOmWWkSKKZMRFTtNdRa4cAepvMg4R78VHVBrjKIbRIj7jPB5MOKN8WrPdPbZEYv4,Lucky Kishor Rathod,https://play-lh.googleusercontent.com/a-/AOh14GizP6YRfP9BtU7gyES8mDBZ5NjIoNtyVKHGApXb,From my opinion this is best streaming platform,5,0,8.17.0 build 6 40147,2022-03-27 12:16:15,,
gp:AOqpTOFZuiM0HmD3DT34UDbS4SvurValUM9EGPU81qquqaqwctKkTKbLzrgNVnNqrwgBB1bjvQEzJ3EM3FC4OBo,venkat creations. vs.,https://play-lh.googleusercontent.com/a-/AOh14GibDQraCKV_WObVXWbVDHzPkyjaVfFi4hWSAoTneg,Good,5,0,7.73.1 build 15 35102,2022-03-27 12:10:38,,
gp:AOqpTOE00gtLIdjyyUoYDTb6YZLTr47lLwJz5-58Tr09CUm5nvUcnwVPhSPqX5qEzPG9NYK1I10ym5vANs5bGsE,Georgia _t,https://play-lh.googleusercontent.com/a-/AOh14GhgwTDH_dp0xL0JXHlJJEqlTRtxSRfwtl9JixIjuw,"i love netflix, it has all shows which mostly are good and you can watch tons of series/movies!",5,0,,2022-03-27 12:09:11,,
gp:AOqpTOGVdnEq9HWSEVmBNSUIwbCIPBvd8p4Dyvo906Txev41Q9RAp21jkAMOAh4TGqAV4tYYWAoXH92-H7AglH0,Naman Khode,https://play-lh.googleusercontent.com/a/AATXAJw_x0GfNRXoVzjorR0qy1yHjxDU5gr0SAC4enR7=mo,"Not able to use the app, as it does not move beyond the opening screen. Re-installed twice yet facing the same issue. Please fix the issue soon.",1,0,,2022-03-27 12:04:37,,
gp:AOqpTOFO-TJDuUvCrkBCkqT57yofVKjVesG2i173V6Y4IGEnspIkMMnQ-f08sShqJTH_3bQ3F5rroEi9SQovxS4,Mike Otieno,https://play-lh.googleusercontent.com/a/AATXAJx1e09GQxBPvyKS4cNWKF9_UmznCGhLq1Gplo8n=mo,Free video,5,0,,2022-03-27 11:57:29,,
gp:AOqpTOGoLuOJzN_gAlgevmthnrS0Zc01si61Qs_KRSrGlGKzEmtHOrlWxwUg7KY6yVE6lJJ4EThoim_Mltbv7Ww,Alveera khan,https://play-lh.googleusercontent.com/a/AATXAJz8un9uY-BvovW-QlK5ZOix-fgBVmTyu-gh2MMQ=mo,Good,4,0,8.17.0 build 6 40147,2022-03-27 11:55:45,,
gp:AOqpTOFEUPbMDnpaE37raDOTAFt1xqxrhAVOjEEuRv9PLpld2lLJTIPzeA1M0AcWWqg17yC56LvJ761of3DaLJY,dora duarte,https://play-lh.googleusercontent.com/a/AATXAJwwGSWs5ToDVEKzZhBeS0xEOqaIkuR0UtL9DXRn=mo,GREAT But stuff have limited time ☹️,4,0,8.22.1 build 22 40193,2022-03-27 11:54:03,,
gp:AOqpTOEWJs4ufcsE87i5RK69huTOqRmCGnACFXI1kZwDNoifUNVqFiq7Ak2xH8kAebShRz5yKVuPho9gJrQSChs,Razi Qazi,https://play-lh.googleusercontent.com/a/AATXAJwgkP5fc1z9GaBz7G74YSupTlvD-eLfv17WsKxA=mo,Excellent,1,0,,2022-03-27 11:47:09,,
gp:AOqpTOHsq1xzw4pLU3o9jI-QbQFjz3tjPNAv8irriOe5oQHeQIFMgPR9wR7s4B_WqIVjzq8mJsCTQKXfKBCZsVo,Do It Yourself,https://play-lh.googleusercontent.com/a-/AOh14GgzvcuZexetV79gav2wzW7S8Rxb1VcdTkOMcv4YRQ,Awesome. Price dropped! Go waste your time!,5,0,,2022-03-27 11:46:02,,
gp:AOqpTOHDXnds8quurpYrvVTTx-bEagz9an2NhNJfDRpLfAU0MGEarJ3EZo_Y9YHKpNyoMhzRoCOsACJ54EVl_4Q,Carmen Rivera,https://play-lh.googleusercontent.com/a-/AOh14GjzN0faH62b_5UD00xZKvh9RNLsJCQSdGW6KQKawTk,Excellent,5,0,8.22.1 build 22 40193,2022-03-27 11:45:34,,
gp:AOqpTOEEdUB-d-F0xcslRntfA8MjgXhtI3ewhjj7DemJlLGXY4Z1ZPjt68r8cxoZWVvNVS41eYxb1jpzX_jXmto,Gerald Eguaroje,https://play-lh.googleusercontent.com/a-/AOh14GgXtaYgr_jr3sb38VqS6XMA1roQy8U31wxL6wQrzw,Nice very nice 👍,5,0,8.22.1 build 22 40193,2022-03-27 11:42:11,,
gp:AOqpTOFGqy5apeSRDRWZDBUWUCSBJ25mZJBwqMZIa39kDH-Ll9y9j1E6jwWJmNw2ku1qeFRx7peWkrim2ag_1g8,sebahat,https://play-lh.googleusercontent.com/a/AATXAJwgQH--mxHHoe4MI-2EhSYBdDnzhGGUEk4qxKpt=mo,It is amazing but i would have been more happy if they added other movies that are not on Netflix.,5,0,8.22.1 build 22 40193,2022-03-27 11:39:10,,
gp:AOqpTOF8c1GStQXByM0ulWu6AENAkDNqQgtY7h3pfqDypMHIrNz1l5sVUFha-K2U_lCOn1uhiDrovuckfviv6iU,John Kinara,https://play-lh.googleusercontent.com/a-/AOh14GjJpgYRW2Gidpq0Ju-8Sz573sd--0xyH-9vR-4T,Amazing 😂 Raha najipa mwenyewe,5,0,,2022-03-27 11:33:39,,
